"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.04.2019","21.090,0","20.946,7","21.497,0","20.675,0","0,46K","0,68%"
"29.04.2019","20.946,7","21.081,9","21.500,0","20.459,1","0,45K","-0,64%"
"28.04.2019","21.081,9","21.353,3","21.534,8","20.900,0","0,08K","-0,81%"
"27.04.2019","21.253,0","20.810,2","21.799,0","20.614,1","0,24K","2,13%"
"26.04.2019","20.810,2","21.489,9","21.799,0","20.200,0","0,59K","-2,76%"
"25.04.2019","21.400,0","22.115,0","22.300,0","21.001,1","0,47K","-3,67%"
"24.04.2019","22.215,0","22.258,0","22.570,0","21.789,4","0,54K","-0,19%"
"23.04.2019","22.258,0","21.750,9","22.675,9","21.490,0","0,55K","2,33%"
"22.04.2019","21.750,9","21.195,0","21.989,0","21.080,0","0,46K","3,15%"
"21.04.2019","21.086,0","21.248,0","21.278,0","21.020,0","0,07K","-0,76%"
"20.04.2019","21.248,0","21.015,1","21.279,7","21.015,1","0,05K","1,11%"
"19.04.2019","21.015,1","21.123,0","21.260,0","20.871,0","0,11K","-0,51%"
"18.04.2019","21.123,0","20.957,5","21.350,0","20.753,0","0,36K","0,79%"
"17.04.2019","20.957,5","20.546,9","20.957,5","20.253,7","0,40K","2,00%"
"16.04.2019","20.546,9","19.922,0","20.550,0","19.800,0","0,35K","3,14%"
"15.04.2019","19.922,0","20.249,9","20.400,0","19.600,9","0,38K","-1,66%"
"14.04.2019","20.259,0","20.067,1","20.260,0","19.926,1","0,04K","0,96%"
"13.04.2019","20.067,1","20.200,7","20.449,0","20.015,0","0,07K","-0,66%"
"12.04.2019","20.200,7","19.938,9","20.500,0","19.500,0","0,36K","1,85%"
"11.04.2019","19.833,0","20.899,0","20.900,0","19.501,0","0,57K","-5,10%"
"10.04.2019","20.899,0","20.401,0","21.100,0","20.370,9","0,45K","1,96%"
"09.04.2019","20.498,0","20.698,5","20.899,0","20.351,0","0,48K","-0,97%"
"08.04.2019","20.698,5","20.202,0","20.860,0","20.050,0","0,42K","2,46%"
"07.04.2019","20.202,0","19.911,4","20.361,7","19.804,9","0,10K","1,46%"
"06.04.2019","19.911,4","19.899,9","20.350,0","19.657,0","0,19K","0,06%"
"05.04.2019","19.899,9","19.199,0","19.900,0","19.009,0","0,35K","3,65%"
"04.04.2019","19.199,0","19.740,0","19.950,0","18.765,4","0,51K","-2,74%"
"03.04.2019","19.740,0","19.100,1","20.999,9","18.001,0","0,91K","3,35%"
"02.04.2019","19.100,1","16.480,0","19.399,0","16.380,0","0,75K","15,90%"
"01.04.2019","16.480,0","16.450,0","16.580,0","16.182,0","0,49K","-0,08%"
