"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"31.08.2019","40.424,9","40.400,9","40.900,0","39.964,5","0,08K","0,50%"
"30.08.2019","40.225,1","40.300,0","40.866,0","39.850,0","0,28K","-0,19%"
"29.08.2019","40.300,0","41.330,7","41.330,7","40.000,0","0,46K","-2,49%"
"28.08.2019","41.330,7","42.254,0","43.200,0","40.800,0","0,46K","-2,63%"
"27.08.2019","42.449,0","42.655,0","42.900,0","42.001,0","0,25K","-0,49%"
"26.08.2019","42.656,0","41.713,9","43.100,0","41.569,2","0,44K","2,26%"
"25.08.2019","41.713,9","41.667,0","42.312,1","41.500,0","0,05K","0,11%"
"24.08.2019","41.667,0","42.350,0","42.478,9","41.220,8","0,12K","-1,57%"
"23.08.2019","42.330,1","41.178,8","42.999,0","41.107,1","0,32K","2,80%"
"22.08.2019","41.178,8","41.331,2","41.920,0","40.310,0","0,32K","-0,82%"
"21.08.2019","41.520,0","43.650,0","44.020,9","40.700,0","0,63K","-5,55%"
"20.08.2019","43.960,6","44.427,0","44.580,0","43.000,0","0,34K","-1,05%"
"19.08.2019","44.427,0","41.990,3","44.830,0","41.630,0","0,52K","6,16%"
"18.08.2019","41.850,0","41.469,9","42.100,0","41.251,4","0,06K","0,92%"
"17.08.2019","41.469,9","42.000,0","42.200,0","41.111,1","0,09K","-1,58%"
"16.08.2019","42.135,0","41.900,0","42.490,0","40.550,0","0,37K","0,56%"
"15.08.2019","41.900,0","41.788,0","43.500,0","40.000,0","0,56K","0,27%"
"14.08.2019","41.788,0","43.739,9","43.850,0","41.050,0","0,55K","-4,70%"
"13.08.2019","43.849,0","45.500,0","45.748,6","43.500,0","0,51K","-3,42%"
"12.08.2019","45.400,0","45.800,0","46.500,0","45.009,3","0,25K","-0,87%"
"11.08.2019","45.800,0","45.300,0","45.800,0","45.000,0","0,08K","0,73%"
"10.08.2019","45.466,7","46.649,9","46.650,0","45.000,0","0,21K","-2,54%"
"09.08.2019","46.649,9","46.600,0","46.700,0","46.150,0","0,25K","-0,11%"
"08.08.2019","46.700,0","46.840,0","46.900,0","45.798,0","0,39K","0,00%"
"07.08.2019","46.700,0","45.271,7","47.825,0","44.600,0","0,80K","3,20%"
"06.08.2019","45.250,0","45.477,0","46.453,0","44.139,0","1,01K","-0,50%"
"05.08.2019","45.477,0","41.516,0","46.300,0","41.503,0","1,57K","9,20%"
"04.08.2019","41.644,0","41.350,0","42.000,0","41.045,0","0,19K","0,59%"
"03.08.2019","41.400,0","40.683,0","41.960,0","40.401,1","0,31K","1,76%"
"02.08.2019","40.683,0","39.362,0","41.759,0","39.200,0","0,78K","3,26%"
"01.08.2019","39.400,0","37.850,0","40.000,0","37.800,0","0,50K","3,68%"
