"date","close","open","max","min","volume","variation"
"31.12.2019","29.201,1","29.699,9","29.999,8","29.057,0","0,08K","-1,68%"
"30.12.2019","29.699,9","29.820,0","30.200,0","29.400,0","0,17K","-0,40%"
"29.12.2019","29.820,0","29.775,0","30.210,0","29.560,5","0,03K","0,15%"
"28.12.2019","29.775,0","29.560,0","29.889,0","29.560,0","0,04K","0,73%"
"27.12.2019","29.560,0","29.600,0","29.894,4","29.033,0","0,15K","-0,14%"
"26.12.2019","29.600,0","29.630,6","30.200,0","29.501,0","0,15K","-0,10%"
"25.12.2019","29.630,6","29.830,3","29.919,0","29.500,0","0,03K","-0,67%"
"24.12.2019","29.830,3","30.100,0","31.048,0","29.550,0","0,11K","-0,90%"
"23.12.2019","30.100,0","30.650,0","31.500,0","30.050,0","0,25K","-1,79%"
"22.12.2019","30.650,0","29.329,0","30.800,0","29.329,0","0,08K","4,50%"
"21.12.2019","29.329,0","29.612,0","29.832,0","29.300,0","0,03K","-0,96%"
"20.12.2019","29.612,0","29.200,0","29.800,0","28.943,9","0,19K","1,41%"
"19.12.2019","29.200,0","29.920,0","30.027,0","28.676,2","0,19K","-2,41%"
"18.12.2019","29.920,0","27.009,1","30.500,0","26.401,0","0,38K","10,78%"
"17.12.2019","27.009,1","28.403,6","28.403,6","27.000,0","0,28K","-4,91%"
"16.12.2019","28.403,6","29.250,1","30.149,0","28.011,0","0,26K","-2,89%"
"15.12.2019","29.250,1","29.440,0","29.500,0","29.008,9","0,04K","-0,65%"
"14.12.2019","29.440,0","30.200,0","30.292,4","29.050,0","0,08K","-2,52%"
"13.12.2019","30.200,0","29.878,0","30.490,1","29.611,0","0,15K","1,08%"
"12.12.2019","29.878,0","29.900,0","30.200,0","29.498,9","0,20K","-0,07%"
"11.12.2019","29.900,0","30.190,0","30.370,9","29.530,0","0,19K","-0,96%"
"10.12.2019","30.190,0","30.595,0","30.949,1","30.103,0","0,21K","-1,32%"
"09.12.2019","30.595,0","31.201,0","31.546,2","30.522,2","0,20K","-1,94%"
"08.12.2019","31.201,0","31.285,0","31.450,0","30.862,0","0,04K","-0,27%"
"07.12.2019","31.285,0","31.255,4","31.490,0","31.176,0","0,03K","0,09%"
"06.12.2019","31.255,4","31.210,7","31.513,0","30.917,1","0,13K","0,14%"
"05.12.2019","31.210,7","30.897,5","31.600,0","30.650,0","0,15K","1,01%"
"04.12.2019","30.897,5","30.999,0","32.295,0","30.350,0","0,22K","-0,33%"
"03.12.2019","30.999,0","31.349,4","31.694,1","30.999,0","0,17K","-1,12%"
"02.12.2019","31.349,4","31.787,0","32.099,9","31.000,1","0,19K","-1,38%"
"01.12.2019","31.787,0","32.380,0","32.554,4","31.505,0","0,09K","-1,83%"
