"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"28.02.2019","14.415,3","14.400,0","14.810,0","14.306,0","0,24K","-0,09%"
"27.02.2019","14.429,0","14.557,0","14.600,0","14.101,0","0,24K","-0,88%"
"26.02.2019","14.557,0","14.572,0","14.746,0","14.342,0","0,27K","-0,10%"
"25.02.2019","14.572,0","14.475,0","14.789,0","14.265,0","0,25K","0,67%"
"24.02.2019","14.475,0","15.387,5","15.497,0","14.300,0","0,12K","-5,93%"
"23.02.2019","15.387,5","15.000,0","15.497,0","14.860,7","0,11K","2,58%"
"22.02.2019","15.000,0","14.875,0","15.094,0","14.861,5","0,20K","0,84%"
"21.02.2019","14.875,0","14.950,0","15.100,0","14.800,0","0,27K","-0,50%"
"20.02.2019","14.950,0","14.630,1","15.100,0","14.552,0","0,33K","2,19%"
"19.02.2019","14.630,1","14.560,7","14.924,9","14.422,0","0,29K","0,48%"
"18.02.2019","14.560,7","13.567,6","14.949,0","13.490,0","0,42K","7,32%"
"17.02.2019","13.567,6","13.680,0","13.680,0","13.471,9","0,04K","-0,28%"
"16.02.2019","13.605,1","13.437,0","13.695,0","13.419,0","0,06K","1,25%"
"15.02.2019","13.437,0","13.450,0","13.643,0","13.320,0","0,22K","-0,10%"
"14.02.2019","13.450,0","13.650,0","13.797,9","13.450,0","0,27K","-1,47%"
"13.02.2019","13.650,0","13.530,0","13.900,0","13.490,0","0,31K","0,59%"
"12.02.2019","13.570,0","13.770,9","13.900,0","13.500,0","0,29K","-1,46%"
"11.02.2019","13.770,9","13.410,3","13.900,0","13.321,0","0,26K","2,69%"
"10.02.2019","13.410,3","13.333,3","13.577,0","13.300,0","0,05K","0,08%"
"09.02.2019","13.400,0","13.400,0","13.539,4","13.311,0","0,07K","0,00%"
"08.02.2019","13.400,0","12.695,0","13.945,0","12.600,0","0,38K","5,55%"
"07.02.2019","12.695,0","12.660,1","12.769,0","12.580,0","0,16K","0,28%"
"06.02.2019","12.660,1","12.710,0","12.830,0","12.550,0","0,25K","-0,39%"
"05.02.2019","12.710,0","12.579,0","13.000,0","12.510,5","0,33K","1,04%"
"04.02.2019","12.579,0","12.570,0","12.750,0","12.460,3","0,20K","0,07%"
"03.02.2019","12.570,0","12.705,0","12.725,5","12.510,0","0,03K","-1,02%"
"02.02.2019","12.700,0","12.650,0","12.770,0","12.600,0","0,04K","0,40%"
"01.02.2019","12.650,0","12.747,2","12.837,0","12.502,0","0,19K","-0,76%"
