"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"31.01.2019","12.747,2","12.955,0","12.955,0","12.500,3","0,25K","-1,60%"
"30.01.2019","12.955,0","12.838,0","13.150,0","12.705,0","0,19K","0,91%"
"29.01.2019","12.838,0","13.100,0","13.199,3","12.737,0","0,25K","-2,00%"
"28.01.2019","13.100,0","13.415,0","13.495,5","12.901,0","0,20K","-2,35%"
"27.01.2019","13.415,0","13.588,0","13.600,0","13.305,7","0,05K","-0,95%"
"26.01.2019","13.543,0","13.528,1","13.699,0","13.528,1","0,02K","0,11%"
"25.01.2019","13.528,1","13.656,6","13.728,0","13.500,0","0,17K","-0,94%"
"24.01.2019","13.656,6","13.588,3","13.760,0","13.501,0","0,14K","0,50%"
"23.01.2019","13.588,3","13.782,9","13.950,0","13.522,0","0,16K","-1,88%"
"22.01.2019","13.848,0","13.645,0","13.948,0","13.506,0","0,22K","1,82%"
"21.01.2019","13.600,0","13.669,3","13.739,2","13.500,0","0,09K","0,21%"
"20.01.2019","13.572,0","14.050,0","14.079,0","13.531,5","0,08K","-3,06%"
"19.01.2019","14.000,0","13.801,0","14.100,0","13.772,0","0,06K","1,44%"
"18.01.2019","13.801,0","13.766,5","14.085,0","13.625,3","0,21K","0,25%"
"17.01.2019","13.766,5","13.696,0","14.100,0","13.502,0","0,21K","0,51%"
"16.01.2019","13.696,0","13.617,2","14.369,0","13.616,5","0,24K","0,37%"
"15.01.2019","13.645,0","14.170,0","14.566,0","13.590,0","0,35K","-3,71%"
"14.01.2019","14.170,0","13.495,0","14.566,0","13.256,0","0,26K","5,00%"
"13.01.2019","13.495,0","13.890,0","13.980,0","13.221,8","0,08K","-2,84%"
"12.01.2019","13.890,0","13.932,9","14.299,9","13.760,4","0,07K","-0,31%"
"11.01.2019","13.932,9","13.811,0","14.394,0","13.700,0","0,30K","0,88%"
"10.01.2019","13.811,0","15.214,8","15.343,0","13.500,0","0,36K","-9,23%"
"09.01.2019","15.214,8","15.169,7","15.447,6","14.930,0","0,26K","0,30%"
"08.01.2019","15.169,7","15.112,0","15.499,0","15.021,1","0,23K","-0,20%"
"07.01.2019","15.200,0","15.081,0","15.300,0","14.900,0","0,14K","0,79%"
"06.01.2019","15.081,0","14.615,4","15.230,0","14.499,0","0,08K","3,19%"
"05.01.2019","14.615,4","14.718,7","15.188,0","14.554,0","0,06K","-0,70%"
"04.01.2019","14.718,7","14.750,0","15.197,0","14.250,0","0,23K","-0,21%"
"03.01.2019","14.750,0","15.108,0","15.387,0","14.485,0","0,32K","-2,37%"
"02.01.2019","15.108,1","15.201,0","15.359,9","14.900,0","0,20K","-0,60%"
"01.01.2019","15.200,0","14.884,0","15.200,0","14.790,0","0,03K","2,14%"
