"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"31.07.2019","38.000,0","36.985,0","38.200,0","36.750,0","0,41K","3,40%"
"30.07.2019","36.750,0","36.350,0","38.400,0","36.050,0","0,35K","0,86%"
"29.07.2019","36.438,0","36.555,0","36.800,0","36.080,0","0,25K","-0,32%"
"28.07.2019","36.555,0","36.790,0","37.363,6","36.051,1","0,10K","-0,64%"
"27.07.2019","36.790,0","37.578,0","38.200,0","36.258,0","0,28K","-2,61%"
"26.07.2019","37.775,0","37.989,0","37.989,0","37.300,0","0,27K","-0,11%"
"25.07.2019","37.815,0","37.273,0","38.460,0","37.115,0","0,36K","1,45%"
"24.07.2019","37.273,0","37.900,5","37.999,7","36.523,0","0,45K","-1,66%"
"23.07.2019","37.900,5","38.551,2","38.840,0","37.500,0","0,41K","-2,42%"
"22.07.2019","38.840,0","39.400,0","39.760,0","38.251,1","0,39K","-1,32%"
"21.07.2019","39.360,0","39.603,0","39.980,0","39.000,0","0,12K","-0,10%"
"20.07.2019","39.400,0","38.998,0","40.500,0","38.200,0","0,38K","1,03%"
"19.07.2019","38.998,0","38.901,1","39.489,9","38.000,0","0,57K","-0,01%"
"18.07.2019","39.000,0","36.920,0","40.000,0","34.500,0","1,24K","5,63%"
"17.07.2019","36.920,0","35.400,0","38.500,0","34.300,0","0,79K","4,29%"
"16.07.2019","35.400,0","41.990,0","42.279,0","35.000,0","0,99K","-15,69%"
"15.07.2019","41.990,0","40.599,0","42.300,0","39.001,0","0,62K","3,43%"
"14.07.2019","40.599,0","43.985,0","44.100,0","40.500,0","0,35K","-7,70%"
"13.07.2019","43.985,0","44.871,5","44.990,0","42.000,0","0,28K","-1,98%"
"12.07.2019","44.871,5","43.411,1","45.499,0","42.900,0","0,39K","3,35%"
"11.07.2019","43.415,0","46.385,1","46.612,0","42.600,0","0,73K","-6,40%"
"10.07.2019","46.385,1","47.232,0","49.800,0","44.102,0","1,17K","-1,80%"
"09.07.2019","47.233,0","46.027,3","47.602,1","46.027,3","0,52K","2,57%"
"08.07.2019","46.050,0","43.979,1","46.495,0","43.650,1","0,71K","5,01%"
"07.07.2019","43.854,9","43.325,3","43.990,0","43.000,0","0,07K","1,22%"
"06.07.2019","43.325,3","42.650,0","44.293,0","42.650,0","0,18K","1,58%"
"05.07.2019","42.650,0","43.109,1","44.499,0","42.245,0","0,50K","-1,07%"
"04.07.2019","43.109,1","44.950,0","45.735,1","43.000,0","0,60K","-3,78%"
"03.07.2019","44.802,0","41.599,0","44.990,7","41.255,0","0,88K","7,70%"
"02.07.2019","41.599,0","41.500,0","42.430,0","38.000,0","0,84K","0,24%"
"01.07.2019","41.500,0","43.290,0","44.198,4","38.202,0","1,06K","-4,13%"
