"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.06.2019","43.290,0","45.975,0","46.300,0","42.581,0","0,39K","-5,89%"
"29.06.2019","45.999,0","47.547,0","47.600,0","44.010,0","0,37K","-3,26%"
"28.06.2019","47.547,0","43.498,9","47.990,0","42.001,1","0,89K","9,31%"
"27.06.2019","43.498,9","50.330,0","51.200,0","40.000,0","1,77K","-13,85%"
"26.06.2019","50.495,0","46.499,0","54.900,0","42.000,0","2,22K","9,30%"
"25.06.2019","46.200,0","42.325,0","46.500,0","42.320,0","0,84K","8,86%"
"24.06.2019","42.440,0","40.748,0","42.699,3","40.275,0","0,55K","4,15%"
"23.06.2019","40.750,0","40.123,3","41.500,0","40.000,0","0,22K","1,56%"
"22.06.2019","40.123,3","39.499,9","42.950,0","38.000,0","0,95K","1,58%"
"21.06.2019","39.500,0","36.686,0","39.500,0","36.500,0","0,61K","7,67%"
"20.06.2019","36.686,0","35.800,0","36.799,0","35.600,0","0,21K","2,47%"
"19.06.2019","35.800,1","35.228,0","35.850,0","35.200,0","0,31K","1,62%"
"18.06.2019","35.228,0","35.878,6","35.995,0","34.902,0","0,42K","-1,81%"
"17.06.2019","35.878,6","34.295,0","36.000,0","34.018,4","0,69K","4,65%"
"16.06.2019","34.285,0","33.950,0","35.399,0","33.400,0","0,28K","0,99%"
"15.06.2019","33.950,0","33.729,0","34.100,0","33.450,0","0,16K","0,66%"
"14.06.2019","33.729,0","32.220,0","33.990,0","31.900,0","0,44K","4,65%"
"13.06.2019","32.230,0","31.802,0","32.897,0","31.454,0","0,51K","1,35%"
"12.06.2019","31.802,0","31.148,0","31.998,0","30.730,0","0,40K","2,10%"
"11.06.2019","31.148,0","31.314,1","31.539,4","30.300,0","0,36K","-0,53%"
"10.06.2019","31.314,1","30.306,2","31.600,0","30.286,6","0,32K","3,33%"
"09.06.2019","30.306,2","31.498,5","31.498,5","30.003,0","0,12K","-3,79%"
"08.06.2019","31.498,5","31.682,5","31.890,1","31.000,0","0,11K","-0,58%"
"07.06.2019","31.682,5","30.551,0","31.999,0","30.399,0","0,39K","3,70%"
"06.06.2019","30.551,0","31.185,0","31.197,5","29.500,0","0,38K","-2,03%"
"05.06.2019","31.185,0","30.060,3","31.989,0","30.000,0","0,60K","3,74%"
"04.06.2019","30.060,3","32.945,0","32.950,0","29.501,0","0,92K","-8,76%"
"03.06.2019","32.945,0","34.647,0","34.772,0","32.101,0","0,51K","-4,91%"
"02.06.2019","34.647,0","34.489,1","34.850,0","34.201,0","0,07K","0,46%"
"01.06.2019","34.489,1","34.742,5","34.742,5","34.200,0","0,07K","-0,73%"
