"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"31.05.2019","34.742,5","33.962,0","34.788,0","33.200,0","0,46K","2,30%"
"30.05.2019","33.962,0","34.980,0","35.800,0","32.803,0","0,68K","-2,91%"
"29.05.2019","34.980,0","35.480,1","35.600,0","34.900,0","0,39K","-1,74%"
"28.05.2019","35.600,0","35.533,0","35.700,0","35.000,0","0,38K","0,19%"
"27.05.2019","35.533,0","33.755,0","35.950,0","33.755,0","0,61K","5,27%"
"26.05.2019","33.755,0","32.598,0","34.000,0","32.200,0","0,35K","3,86%"
"25.05.2019","32.499,0","32.450,0","32.665,0","32.320,0","0,07K","0,54%"
"24.05.2019","32.323,0","32.099,0","32.849,0","31.750,0","0,36K","0,70%"
"23.05.2019","32.099,0","31.721,0","32.399,0","31.050,0","0,34K","1,19%"
"22.05.2019","31.721,0","32.770,0","32.900,0","31.500,0","0,46K","-3,20%"
"21.05.2019","32.770,0","32.690,0","32.999,0","32.250,0","0,36K","0,24%"
"20.05.2019","32.690,0","32.470,0","33.010,0","31.550,0","0,53K","0,68%"
"19.05.2019","32.470,0","30.240,0","32.700,0","30.240,0","0,34K","7,37%"
"18.05.2019","30.240,0","30.800,0","31.000,0","30.017,0","0,13K","-1,82%"
"17.05.2019","30.800,0","32.300,0","32.400,0","27.508,0","0,98K","-4,64%"
"16.05.2019","32.300,0","32.950,0","33.390,0","31.750,0","0,58K","-1,97%"
"15.05.2019","32.950,0","32.290,0","33.295,0","31.907,0","0,61K","2,02%"
"14.05.2019","32.298,0","31.799,9","33.298,0","30.200,0","0,99K","1,57%"
"13.05.2019","31.799,9","26.310,1","33.300,0","26.180,9","1,23K","20,87%"
"12.05.2019","26.310,1","29.098,9","29.098,9","25.100,0","0,44K","-9,34%"
"11.05.2019","29.020,0","25.680,0","29.323,7","25.510,0","0,42K","13,01%"
"10.05.2019","25.680,0","24.800,0","25.954,0","24.700,0","0,67K","3,55%"
"09.05.2019","24.800,0","23.800,0","24.900,0","23.700,1","0,42K","4,20%"
"08.05.2019","23.800,0","23.690,0","23.848,0","23.300,0","0,42K","0,42%"
"07.05.2019","23.700,0","23.020,0","24.000,0","22.885,0","0,55K","2,95%"
"06.05.2019","23.020,0","22.930,0","23.125,0","22.650,0","0,36K","0,39%"
"05.05.2019","22.930,0","23.100,0","23.170,3","22.850,0","0,08K","-0,74%"
"04.05.2019","23.100,0","22.898,6","23.190,0","22.401,0","0,18K","0,88%"
"03.05.2019","22.898,6","21.900,0","23.150,0","21.670,0","0,78K","4,56%"
"02.05.2019","21.900,0","21.169,0","21.998,0","21.100,1","0,47K","3,45%"
"01.05.2019","21.169,0","21.090,0","21.398,0","21.090,0","0,11K","0,37%"
