"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"31.03.2019","16.493,9","16.499,0","16.649,0","16.370,0","0,08K","-0,03%"
"30.03.2019","16.499,0","16.350,0","16.499,0","16.230,0","0,11K","0,91%"
"29.03.2019","16.350,0","15.986,0","16.479,9","15.876,0","0,35K","2,96%"
"28.03.2019","15.880,0","16.090,0","16.199,0","15.782,0","0,36K","-1,08%"
"27.03.2019","16.054,0","15.579,0","16.250,0","15.452,4","0,34K","3,05%"
"26.03.2019","15.579,0","15.459,0","15.600,0","15.200,0","0,27K","0,78%"
"25.03.2019","15.459,0","15.916,0","16.050,0","15.222,0","0,43K","-2,96%"
"24.03.2019","15.930,0","16.030,0","16.050,0","15.903,9","0,02K","-0,62%"
"23.03.2019","16.030,0","15.945,0","16.286,0","15.851,0","0,14K","0,53%"
"22.03.2019","15.945,0","15.431,0","15.980,0","15.410,2","0,25K","3,33%"
"21.03.2019","15.431,0","15.500,0","15.600,0","15.340,0","0,28K","-0,45%"
"20.03.2019","15.500,0","15.499,0","15.500,0","15.295,0","0,29K","0,01%"
"19.03.2019","15.499,0","15.380,0","15.510,0","15.210,0","0,39K","1,37%"
"18.03.2019","15.289,0","15.197,9","15.447,0","15.060,0","0,31K","0,60%"
"17.03.2019","15.197,9","15.290,0","15.290,0","15.050,0","0,05K","-0,54%"
"16.03.2019","15.280,0","15.200,0","15.350,0","15.101,0","0,08K","0,55%"
"15.03.2019","15.196,0","15.050,0","15.243,0","14.985,0","0,27K","0,97%"
"14.03.2019","15.050,0","15.050,0","15.150,0","14.780,1","0,25K","0,00%"
"13.03.2019","15.050,0","14.997,9","15.100,0","14.837,0","0,23K","0,35%"
"12.03.2019","14.997,9","15.020,0","15.310,0","14.800,0","0,32K","-0,15%"
"11.03.2019","15.020,0","15.289,0","15.329,6","13.800,0","0,31K","-1,76%"
"10.03.2019","15.289,0","15.400,0","15.400,0","15.180,6","0,03K","-0,72%"
"09.03.2019","15.400,0","15.107,8","15.400,0","15.103,0","0,07K","1,93%"
"08.03.2019","15.107,8","15.234,5","15.450,0","14.990,8","0,38K","-0,83%"
"07.03.2019","15.234,5","14.850,0","15.300,0","14.730,0","0,26K","3,08%"
"06.03.2019","14.780,0","14.480,8","15.000,0","14.400,0","0,22K","2,07%"
"05.03.2019","14.480,8","14.250,0","14.600,0","14.200,0","0,07K","1,62%"
"04.03.2019","14.250,0","14.697,1","14.697,6","14.250,0","0,07K","-3,04%"
"03.03.2019","14.697,1","14.647,0","14.800,0","14.560,0","0,02K","-0,02%"
"02.03.2019","14.700,0","14.706,0","14.846,9","14.612,0","0,05K","-0,04%"
"01.03.2019","14.706,0","14.415,3","15.000,0","14.385,0","0,28K","2,02%"
