"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.11.2019","32.380,0","33.200,0","33.250,0","32.100,0","0,07K","-2,47%"
"29.11.2019","33.200,0","31.661,1","33.369,0","31.506,0","0,23K","4,57%"
"28.11.2019","31.750,0","32.500,0","32.999,0","31.599,9","0,27K","-2,31%"
"27.11.2019","32.500,0","30.750,0","33.000,0","29.700,0","0,36K","5,69%"
"26.11.2019","30.750,0","30.740,0","31.095,0","30.350,0","0,20K","0,03%"
"25.11.2019","30.740,0","29.699,9","31.500,0","28.800,0","0,35K","3,50%"
"24.11.2019","29.699,9","31.585,8","31.585,8","29.500,0","0,11K","-5,97%"
"23.11.2019","31.585,8","30.990,0","31.999,0","30.500,0","0,11K","1,89%"
"22.11.2019","31.000,0","32.555,0","33.499,0","29.400,1","0,78K","-5,14%"
"21.11.2019","32.681,3","34.081,0","34.100,0","31.712,0","0,34K","-4,16%"
"20.11.2019","34.100,0","34.550,1","34.777,7","34.035,0","0,12K","-1,30%"
"19.11.2019","34.550,1","34.910,6","35.190,0","34.002,0","0,17K","-1,03%"
"18.11.2019","34.910,6","36.200,0","36.399,0","34.051,0","0,22K","-3,56%"
"17.11.2019","36.200,0","36.299,0","36.455,8","36.061,0","0,03K","-0,27%"
"16.11.2019","36.299,0","36.040,0","36.300,0","36.000,0","0,04K","0,72%"
"15.11.2019","36.040,0","36.755,0","36.899,9","36.000,0","0,11K","-1,95%"
"14.11.2019","36.755,0","36.800,1","37.160,0","36.200,0","0,15K","-0,12%"
"13.11.2019","36.800,1","36.810,4","37.200,0","36.600,4","0,16K","-0,03%"
"12.11.2019","36.810,4","36.676,0","37.205,0","36.500,0","0,16K","0,30%"
"11.11.2019","36.700,0","37.570,0","37.700,0","36.500,0","0,20K","-2,32%"
"10.11.2019","37.570,0","36.937,0","37.820,0","36.801,5","0,09K","2,02%"
"09.11.2019","36.827,0","37.139,0","37.230,1","36.550,0","0,06K","-0,51%"
"08.11.2019","37.015,1","37.810,0","37.902,1","36.400,0","0,31K","-2,10%"
"07.11.2019","37.810,0","37.800,0","38.100,0","37.601,0","0,19K","-0,50%"
"06.11.2019","38.001,0","37.601,0","38.100,0","37.355,6","0,28K","1,06%"
"05.11.2019","37.601,0","37.500,0","37.845,0","37.300,0","0,19K","0,30%"
"04.11.2019","37.490,0","36.810,0","38.000,0","36.704,0","0,29K","1,85%"
"03.11.2019","36.810,0","37.100,0","37.150,0","36.800,0","0,04K","-0,59%"
"02.11.2019","37.030,0","36.848,0","37.143,9","36.802,8","0,04K","0,49%"
"01.11.2019","36.848,0","37.400,0","37.400,0","36.627,0","0,17K","-1,48%"
