"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"31.10.2019","37.400,0","36.640,0","37.560,0","36.100,0","0,25K","2,07%"
"30.10.2019","36.640,0","37.550,0","37.558,1","36.500,0","0,21K","-2,42%"
"29.10.2019","37.550,0","36.710,0","37.750,0","36.604,0","0,34K","2,29%"
"28.10.2019","36.710,0","36.530,0","37.555,6","35.460,0","0,42K","0,30%"
"27.10.2019","36.600,0","35.802,0","37.850,0","35.132,0","0,31K","2,23%"
"26.10.2019","35.801,0","34.100,0","39.990,0","34.100,0","0,74K","4,99%"
"25.10.2019","34.100,0","30.500,1","34.600,0","30.500,0","0,54K","11,80%"
"24.10.2019","30.500,0","30.495,0","31.270,2","30.011,0","0,20K","0,02%"
"23.10.2019","30.495,0","33.379,0","33.380,0","30.300,0","0,46K","-8,29%"
"22.10.2019","33.251,0","34.110,0","34.498,7","33.250,0","0,18K","-2,52%"
"21.10.2019","34.110,0","33.790,0","34.500,0","33.629,2","0,24K","0,95%"
"20.10.2019","33.790,0","33.266,9","34.165,0","33.090,0","0,06K","1,57%"
"19.10.2019","33.266,9","33.346,0","33.618,6","33.070,0","0,04K","0,35%"
"18.10.2019","33.150,1","33.719,0","33.950,0","33.060,0","0,16K","-2,40%"
"17.10.2019","33.964,5","33.800,0","34.200,0","33.500,0","0,17K","0,49%"
"16.10.2019","33.800,0","34.300,0","34.500,0","33.500,0","0,18K","-1,04%"
"15.10.2019","34.155,0","34.505,1","34.979,7","34.100,1","0,22K","-1,01%"
"14.10.2019","34.505,1","34.648,0","34.950,0","34.230,4","0,16K","-0,41%"
"13.10.2019","34.648,0","34.720,0","35.300,0","34.365,0","0,07K","-0,21%"
"12.10.2019","34.720,0","34.455,6","35.000,0","34.450,0","0,04K","0,75%"
"11.10.2019","34.463,0","35.480,0","35.619,0","34.200,0","0,21K","-2,85%"
"10.10.2019","35.475,0","35.080,9","35.800,0","34.934,5","0,25K","0,79%"
"09.10.2019","35.198,7","33.750,0","35.500,0","33.500,0","0,40K","4,70%"
"08.10.2019","33.620,0","33.810,0","34.199,0","33.500,0","0,22K","-0,56%"
"07.10.2019","33.810,0","32.100,5","34.650,0","31.500,0","0,32K","5,33%"
"06.10.2019","32.100,5","33.450,0","33.649,9","32.100,0","0,08K","-4,03%"
"05.10.2019","33.450,0","33.720,0","33.924,6","33.000,0","0,07K","-1,04%"
"04.10.2019","33.800,0","34.248,3","34.248,3","33.600,0","0,21K","-1,31%"
"03.10.2019","34.248,3","35.325,0","35.500,0","33.700,0","0,27K","-2,57%"
"02.10.2019","35.150,1","35.200,0","35.500,0","34.599,0","0,23K","-0,03%"
"01.10.2019","35.160,6","34.505,0","36.000,0","34.500,0","0,35K","1,62%"
