"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.09.2019","34.600,0","34.200,0","35.440,0","33.600,4","0,31K","1,73%"
"29.09.2019","34.010,4","34.798,0","34.798,0","33.650,0","0,07K","-2,26%"
"28.09.2019","34.798,0","34.900,0","35.200,0","34.374,0","0,12K","-0,54%"
"27.09.2019","34.987,0","34.458,1","35.490,8","33.500,0","0,45K","1,53%"
"26.09.2019","34.458,1","35.809,9","36.173,0","32.550,1","0,68K","-3,88%"
"25.09.2019","35.850,0","38.090,0","38.399,0","35.500,0","0,82K","-4,89%"
"24.09.2019","37.694,0","41.060,0","41.588,0","36.011,1","0,90K","-8,50%"
"23.09.2019","41.197,0","41.900,0","42.000,0","41.021,1","0,24K","-1,68%"
"22.09.2019","41.900,0","42.000,0","42.098,0","41.600,0","0,03K","-0,24%"
"21.09.2019","42.000,0","42.344,4","42.344,4","41.800,0","0,06K","-0,82%"
"20.09.2019","42.349,0","42.486,9","42.747,9","42.100,0","0,20K","0,12%"
"19.09.2019","42.300,0","42.026,1","42.824,6","40.800,0","0,39K","0,65%"
"18.09.2019","42.026,1","42.127,0","42.350,0","41.950,0","0,22K","-0,24%"
"17.09.2019","42.129,0","42.186,0","42.392,0","41.950,0","0,21K","-0,62%"
"16.09.2019","42.390,0","42.190,0","42.500,0","41.700,0","0,26K","0,47%"
"15.09.2019","42.190,0","42.201,3","42.378,9","42.000,0","0,03K","-0,03%"
"14.09.2019","42.201,3","42.280,0","42.400,0","42.120,0","0,05K","-0,37%"
"13.09.2019","42.360,0","42.301,0","42.480,0","41.950,0","0,19K","0,14%"
"12.09.2019","42.300,0","41.697,0","42.500,0","41.300,0","0,24K","1,90%"
"11.09.2019","41.511,1","41.901,0","42.039,0","41.202,0","0,28K","-0,93%"
"10.09.2019","41.901,0","42.580,0","42.856,1","41.500,0","0,32K","-1,59%"
"09.09.2019","42.580,0","42.960,0","43.200,0","42.187,0","0,29K","-0,77%"
"08.09.2019","42.911,0","43.171,0","43.297,0","42.800,0","0,07K","-0,60%"
"07.09.2019","43.171,0","43.172,7","43.445,8","42.807,3","0,06K","-0,00%"
"06.09.2019","43.172,7","43.795,0","44.500,0","42.550,0","0,46K","-1,42%"
"05.09.2019","43.795,0","43.600,0","43.970,0","43.300,0","0,22K","0,45%"
"04.09.2019","43.600,0","43.625,0","44.358,7","43.000,0","0,54K","-0,34%"
"03.09.2019","43.747,4","42.502,0","44.500,0","42.100,0","0,79K","2,93%"
"02.09.2019","42.500,0","40.779,0","43.050,0","40.360,0","0,51K","4,55%"
"01.09.2019","40.650,0","40.206,0","40.800,0","40.206,0","0,04K","0,56%"
