"Data","Último","Abertura","Máxima","Mínima","Var%"
"30.08.2019","4,1453","4,1699","4,1715","4,1197","-0,56%"
"29.08.2019","4,1688","4,1692","4,1776","4,1414","0,01%"
"28.08.2019","4,1682","4,1265","4,1690","4,1265","0,90%"
"27.08.2019","4,1311","4,1579","4,1954","4,1212","-0,63%"
"26.08.2019","4,1571","4,1193","4,1691","4,1022","0,91%"
"23.08.2019","4,1198","4,0704","4,1320","4,0492","1,21%"
"22.08.2019","4,0706","4,0263","4,0812","4,0160","1,09%"
"21.08.2019","4,0269","4,0546","4,0551","4,0129","-0,67%"
"20.08.2019","4,0542","4,0754","4,0761","4,0268","-0,49%"
"19.08.2019","4,0743","4,0023","4,0758","3,9897","1,71%"
"16.08.2019","4,0058","3,9918","4,0080","3,9749","0,37%"
"15.08.2019","3,9910","4,0503","4,0515","3,9785","-1,52%"
"14.08.2019","4,0526","3,9639","4,0539","3,9624","2,18%"
"13.08.2019","3,9660","3,9862","4,0136","3,9454","-0,49%"
"12.08.2019","3,9855","3,9393","4,0126","3,9382","1,11%"
"09.08.2019","3,9416","3,9203","3,9504","3,9200","0,55%"
"08.08.2019","3,9199","3,9694","3,9703","3,9184","-1,24%"
"07.08.2019","3,9691","3,9619","3,9931","3,9449","0,20%"
"06.08.2019","3,9612","3,9758","3,9866","3,9356","-0,43%"
"05.08.2019","3,9783","3,8859","3,9786","3,8859","2,29%"
"02.08.2019","3,8893","3,8411","3,8937","3,8397","1,28%"
"01.08.2019","3,8403","3,8165","3,8618","3,8115","0,72%"
