"Data","Último","Abertura","Máxima","Mínima","Var%"
"31.12.2019","4,0195","4,0201","4,0201","4,0195","0,00%"
"30.12.2019","4,0195","4,0484","4,0484","4,0084","-0,65%"
"27.12.2019","4,0460","4,0568","4,0614","4,0339","-0,25%"
"26.12.2019","4,0560","4,0827","4,0827","4,0453","-0,68%"
"25.12.2019","4,0838","4,0838","4,0838","4,0838","0,00%"
"24.12.2019","4,0838","4,0838","4,0838","4,0838","0,01%"
"23.12.2019","4,0835","4,1015","4,1015","4,0571","-0,46%"
"20.12.2019","4,1025","4,0706","4,1025","4,0576","0,81%"
"19.12.2019","4,0697","4,0633","4,0703","4,0503","0,16%"
"18.12.2019","4,0634","4,0687","4,0764","4,0463","-0,21%"
"17.12.2019","4,0719","4,0630","4,0780","4,0503","0,21%"
"16.12.2019","4,0632","4,1095","4,1095","4,0544","-1,10%"
"13.12.2019","4,1082","4,0912","4,1178","4,0751","0,43%"
"12.12.2019","4,0908","4,1241","4,1311","4,0813","-0,81%"
"11.12.2019","4,1242","4,1466","4,1470","4,1067","-0,55%"
"10.12.2019","4,1470","4,1429","4,1513","4,1323","0,11%"
"09.12.2019","4,1425","4,1417","4,1608","4,1230","0,03%"
"06.12.2019","4,1414","4,1859","4,1947","4,1330","-1,07%"
"05.12.2019","4,1860","4,2080","4,2236","4,1764","-0,52%"
"04.12.2019","4,2080","4,2055","4,2104","4,1818","0,03%"
"03.12.2019","4,2066","4,2237","4,2245","4,1840","-0,40%"
"02.12.2019","4,2234","4,2365","4,2536","4,2070","-0,31%"
