"Data","Último","Abertura","Máxima","Mínima","Var%"
"31.01.2019","3,6440","3,6865","3,6865","3,6358","-1,11%"
"30.01.2019","3,6850","3,7205","3,7321","3,6741","-0,95%"
"29.01.2019","3,7202","3,7617","3,7648","3,7150","-1,11%"
"28.01.2019","3,7619","3,7780","3,7878","3,7500","-0,24%"
"25.01.2019","3,7708","3,7713","3,7713","3,7708","-0,07%"
"24.01.2019","3,7733","3,7746","3,7955","3,7381","0,19%"
"23.01.2019","3,7663","3,7943","3,8134","3,7561","-1,28%"
"22.01.2019","3,8152","3,7545","3,8173","3,7457","1,60%"
"21.01.2019","3,7550","3,7609","3,7811","3,7541","0,09%"
"18.01.2019","3,7517","3,7480","3,7743","3,7285","0,03%"
"17.01.2019","3,7504","3,7329","3,7744","3,7262","0,37%"
"16.01.2019","3,7366","3,7151","3,7381","3,7084","0,52%"
"15.01.2019","3,7172","3,7024","3,7325","3,6947","0,49%"
"14.01.2019","3,6991","3,7121","3,7357","3,6846","-0,33%"
"11.01.2019","3,7113","3,6943","3,7300","3,6913","0,02%"
"10.01.2019","3,7105","3,6807","3,7249","3,6746","0,81%"
"09.01.2019","3,6807","3,7138","3,7155","3,6743","-0,88%"
"08.01.2019","3,7133","3,7373","3,7412","3,7034","-0,60%"
"07.01.2019","3,7356","3,7139","3,7384","3,6898","0,54%"
"04.01.2019","3,7155","3,7593","3,7850","3,7088","-1,09%"
"03.01.2019","3,7565","3,7960","3,8074","3,7376","-0,88%"
"02.01.2019","3,7900","3,8786","3,8971","3,7828","-2,35%"
"01.01.2019","3,8813","3,8813","3,8813","3,8813","0,00%"
