"Data","Último","Abertura","Máxima","Mínima","Var%"
"31.07.2019","3,8129","3,7897","3,8236","3,7474","0,59%"
"30.07.2019","3,7906","3,7824","3,8000","3,7751","0,24%"
"29.07.2019","3,7816","3,7750","3,8007","3,7750","0,15%"
"26.07.2019","3,7761","3,7795","3,7946","3,7593","-0,08%"
"25.07.2019","3,7790","3,7744","3,8068","3,7546","0,14%"
"24.07.2019","3,7736","3,7750","3,7797","3,7520","-0,00%"
"23.07.2019","3,7737","3,7405","3,7794","3,7402","0,88%"
"22.07.2019","3,7407","3,7456","3,7481","3,7288","-0,23%"
"19.07.2019","3,7494","3,7199","3,7550","3,7199","0,81%"
"18.07.2019","3,7193","3,7645","3,7645","3,7178","-1,19%"
"17.07.2019","3,7641","3,7692","3,7692","3,7542","-0,12%"
"16.07.2019","3,7687","3,7559","3,7717","3,7515","0,32%"
"15.07.2019","3,7567","3,7367","3,7588","3,7281","0,52%"
"12.07.2019","3,7373","3,7577","3,7644","3,7304","-0,47%"
"11.07.2019","3,7551","3,7549","3,7675","3,7346","0,01%"
"10.07.2019","3,7546","3,7883","3,7942","3,7496","-1,21%"
"09.07.2019","3,8005","3,8076","3,8076","3,8005","-0,18%"
"08.07.2019","3,8073","3,8160","3,8179","3,7991","-0,39%"
"05.07.2019","3,8221","3,8024","3,8386","3,7976","0,55%"
"04.07.2019","3,8011","3,8266","3,8293","3,7828","-0,68%"
"03.07.2019","3,8272","3,8468","3,8758","3,8150","-0,48%"
"02.07.2019","3,8456","3,8412","3,8813","3,8182","0,13%"
"01.07.2019","3,8405","3,8375","3,8488","3,8086","-0,30%"
