"Data","Último","Abertura","Máxima","Mínima","Var%"
"28.06.2019","3,8520","3,8189","3,8520","3,8128","0,85%"
"27.06.2019","3,8196","3,8461","3,8728","3,8171","-0,65%"
"26.06.2019","3,8445","3,8481","3,8590","3,8314","-0,09%"
"25.06.2019","3,8480","3,8264","3,8590","3,8182","0,59%"
"24.06.2019","3,8254","3,8216","3,8381","3,8065","0,16%"
"21.06.2019","3,8192","3,8313","3,8458","3,8119","-0,52%"
"20.06.2019","3,8390","3,8387","3,8397","3,8387","0,00%"
"19.06.2019","3,8390","3,8603","3,8840","3,8376","-0,55%"
"18.06.2019","3,8603","3,8899","3,8899","3,8489","-0,72%"
"17.06.2019","3,8883","3,8967","3,9245","3,8792","-0,19%"
"14.06.2019","3,8958","3,8491","3,9135","3,8479","1,22%"
"13.06.2019","3,8487","3,8670","3,8675","3,8342","-0,48%"
"12.06.2019","3,8672","3,8573","3,8723","3,8293","0,26%"
"11.06.2019","3,8571","3,8870","3,8870","3,8420","-0,81%"
"10.06.2019","3,8887","3,8763","3,9003","3,8674","0,25%"
"07.06.2019","3,8789","3,8806","3,8864","3,8505","-0,02%"
"06.06.2019","3,8798","3,8813","3,8878","3,8563","-0,03%"
"05.06.2019","3,8811","3,8569","3,9036","3,8357","0,68%"
"04.06.2019","3,8548","3,8857","3,8899","3,8485","-0,80%"
"03.06.2019","3,8859","3,9233","3,9349","3,8823","-0,94%"
